Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 15, 11.546022891998291, 2.1026788229535973, 174.06099462509155
256, Ori, 15, 15.009974018732708, 4.650537775631699, 225.7728979587555
1024, Ori, 15, 24.79008124669393, 3.2063738835473674, 372.95712184906006
4096, Ori, 15, 57.685637855529784, 3.3478316693232557, 867.8539042472839
64, PPP, 25, 7.776830492019653, 0.9755025676966185, 200.13593816757202
256, PPP, 25, 9.537896184921264, 1.4046077738051885, 244.484055519104
1024, PPP, 25, 16.54954481124878, 1.8312885642266565, 420.6435649394989
4096, PPP, 25, 42.20682971954346, 1.0794677426565318, 1066.096788406372
64, Stat, 10, 58.57123408317566, 85.93804795478701, 591.2017199993134
256, Stat, 10, 58.046532487869264, 118.53317001983525, 586.0021495819092
1024, Stat, 10, 57.86624784469605, 225.67122904512706, 584.2905359268188
4096, Stat, 10, 98.60624742507935, 9.348667060467665, 993.2791666984558
