,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,629,432,0,0,0
1,1,694,420,0,0,0
2,2,810,377,0,0,0
3,3,995,359,0,0,0
4,4,993,351,0,0,0
5,5,1273,319,0,0,0
6,6,1821,296,0,0,0
7,7,2333,289,0,0,0
8,8,2939,281,0,0,0
9,9,6261,269,0,0,0
10,10,6461,262,0,0,0
11,11,7512,265,0,0,0
12,12,9420,265,0,0,0
13,13,14276,267,0,0,0
14,14,9744,259,0,0,0
15,15,13344,262,0,0,0
