,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,1532,1000,0,0,0
1,0,3665,1000,0,0,0
2,1,56845,1000,55683,16006,55683
3,2,53280,1000,52475,15820,52475
4,3,30823,1000,29262,3174,29262
5,4,5148,1000,4398,1332,4398
6,5,4718,1000,3730,1278,3730
7,6,5515,1000,3459,908,3459
8,7,7642,1000,3143,528,3143
9,8,10536,1000,2986,340,2986
10,9,12187,1000,3072,309,3072
11,10,6174,1000,2954,650,2954
12,11,7059,1000,3723,705,3723
13,12,8119,1000,3361,507,3361
14,13,9556,1000,3078,380,3078
15,14,8909,1000,3403,464,3403
16,15,9457,1000,3528,455,3528
17,16,12204,1000,3556,347,3556
18,17,12681,1000,3381,300,3381
19,18,18815,1000,3476,204,3476
20,19,37924,1000,3526,85,3526
21,20,22019,1000,3984,191,3984
22,21,21565,1000,3759,179,3759
23,22,69958,1000,2989,34,2989
24,23,24407,1000,3202,129,3202
25,24,16821,1000,2793,185,2793
26,25,43061,1000,2750,72,2750
27,26,43776,1000,3441,78,3441
28,27,43103,1000,2964,85,2964
29,28,1510572,1000,3190,4,3190
30,29,192929,1000,3132,19,3132
31,30,154581,1000,2552,11,2552
32,31,236624,1000,2366,9,2366
