,t,population_end_time,samples,epsilon,particles
0,-1,2021-03-30 12:06:15.044203,0,inf,1
1,0,2021-03-30 12:10:41.958795,2803,25000000.0,1000
2,1,2021-03-30 12:14:08.927206,44537,24000000.0,1000
3,2,2021-03-30 12:17:25.577544,40219,23500000.0,1000
4,3,2021-03-30 12:20:20.323750,45418,23000000.0,1000
5,4,2021-03-30 12:22:54.884291,56491,22000000.0,1000
6,5,2021-03-30 12:24:37.520090,4401,17600000.0,1000
7,6,2021-03-30 12:26:10.163189,3925,14080000.0,1000
8,7,2021-03-30 12:28:02.476143,4071,11264000.0,1000
9,8,2021-03-30 12:29:46.290748,4275,9011200.0,1000
10,9,2021-03-30 12:31:38.795127,4161,7208960.0,1000
11,10,2021-03-30 12:33:35.405485,4400,5767168.0,1000
12,11,2021-03-30 12:35:27.892130,4622,4613734.4,1000
13,12,2021-03-30 12:38:03.112409,5208,3690987.5200000005,1000
14,13,2021-03-30 12:40:44.689439,5578,2952790.0160000008,1000
15,14,2021-03-30 12:43:22.558733,5483,2362232.0128000006,1000
16,15,2021-03-30 12:46:35.151815,6523,1889785.6102400005,1000
17,16,2021-03-30 12:49:49.236031,6520,1511828.4881920004,1000
18,17,2021-03-30 12:53:38.160535,7917,1209462.7905536003,1000
19,18,2021-03-30 12:57:58.198614,8264,967570.2324428803,1000
20,19,2021-03-30 13:02:33.622262,9285,774056.1859543043,1000
21,20,2021-03-30 13:07:33.498723,10218,619244.9487634435,1000
22,21,2021-03-30 13:10:22.604625,5465,495395.9590107548,1000
23,22,2021-03-30 13:12:36.503014,5147,396316.7672086039,1000
24,23,2021-03-30 13:15:04.228668,5400,317053.41376688314,1000
25,24,2021-03-30 13:18:52.101811,9428,253642.73101350653,1000
26,25,2021-03-30 13:21:34.025491,6412,202914.18481080525,1000
27,26,2021-03-30 13:25:46.851726,10763,162331.34784864422,1000
28,27,2021-03-30 13:28:40.162888,7336,129865.07827891537,1000
29,28,2021-03-30 13:31:04.326309,6132,103892.06262313231,1000
30,29,2021-03-30 13:34:44.611350,10599,83113.65009850585,1000
31,30,2021-03-30 13:38:11.694123,9026,66490.92007880469,1000
32,31,2021-03-30 13:40:47.092960,7276,53192.736063043754,1000
33,32,2021-03-30 13:44:43.311714,11091,42554.188850435006,1000
34,33,2021-03-30 13:48:08.144645,9247,34043.35108034801,1000
35,34,2021-03-30 13:51:07.375289,8773,27234.68086427841,1000
36,35,2021-03-30 13:54:21.001114,9616,21787.74469142273,1000
37,36,2021-03-30 13:58:02.690468,10705,17430.195753138185,1000
38,37,2021-03-30 14:02:52.780193,14358,13944.15660251055,1000
39,38,2021-03-30 14:06:48.501537,12410,11155.32528200844,1000
40,39,2021-03-30 14:12:18.454419,16909,8924.260225606753,1000
41,40,2021-03-30 14:17:42.181530,16483,7139.408180485403,1000
42,41,2021-03-30 14:23:04.993400,15846,5711.526544388323,1000
43,42,2021-03-30 14:29:01.551167,18384,4569.2212355106585,1000
44,43,2021-03-30 14:36:03.533127,21988,3655.376988408527,1000
45,44,2021-03-30 14:45:13.884074,27541,2924.301590726822,1000
46,45,2021-03-30 14:56:12.369090,33159,2339.4412725814577,1000
47,46,2021-03-30 15:19:45.572812,68785,1871.5530180651663,1000
48,47,2021-03-30 15:41:46.370212,65524,1497.242414452133,1000
49,48,2021-03-30 16:23:46.464844,123700,1197.7939315617066,1000
50,49,2021-03-30 17:30:56.026309,199554,958.2351452493654,1000
51,50,2021-03-30 18:26:29.770640,168637,766.5881161994923,1000
