,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,2803,2086,0,0,0
1,1,44537,41126,44468,41062,44468
2,2,40219,36662,40146,36596,40146
3,3,45418,41093,45327,41008,45327
4,4,56491,2071,48045,688,48045
5,5,4401,1792,3845,1551,3845
6,6,3925,1911,3596,1747,3596
7,7,4071,1914,3319,1521,3319
8,8,4275,1772,3682,1538,3682
9,9,4161,1835,3481,1498,3481
10,10,4400,1704,3543,1353,3543
11,11,4622,1638,3470,1224,3470
12,12,5208,1481,2993,917,2993
13,13,5578,1461,3281,855,3281
14,14,5483,1449,3272,869,3272
15,15,6523,1380,3204,653,3204
16,16,6520,1371,3097,642,3097
17,17,7917,1305,3154,489,3154
18,18,8264,1280,2874,417,2874
19,19,9285,1216,3076,369,3076
20,20,10218,1199,2982,325,2982
21,21,5465,1501,2944,765,2944
22,22,5147,1551,3373,990,3373
23,23,5400,1464,3085,835,3085
24,24,9428,1354,3815,142,3815
25,25,6412,1393,3164,648,3164
26,26,10763,1200,3398,371,3398
27,27,7336,1282,3368,577,3368
28,28,6132,1443,3402,769,3402
29,29,10599,1201,3756,384,3756
30,30,9026,1239,3258,413,3258
31,31,7276,1309,3530,624,3530
32,32,11091,1208,3392,384,3392
33,33,9247,1217,3239,450,3239
34,34,8773,1261,3662,511,3662
35,35,9616,1206,3479,428,3479
36,36,10705,1218,3144,354,3144
37,37,14358,1141,3425,232,3425
38,38,12410,1166,3512,317,3512
39,39,16909,1114,3240,190,3240
40,40,16483,1113,3235,190,3235
41,41,15846,1132,3318,230,3318
42,42,18384,1110,3980,197,3980
43,43,21988,1078,3761,194,3761
44,44,27541,1089,3110,98,3110
45,45,33159,1055,3414,87,3414
46,46,68785,1030,3279,35,3279
47,47,65524,1029,3245,42,3245
48,48,123700,1014,2901,25,2901
49,49,199554,1009,2724,8,2724
50,50,168637,1010,2714,17,2714
