,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-13 19:30:28.905535,0,inf,1
1,0,2021-01-13 19:31:16.491157,1384,25000000.0,500
2,1,2021-01-13 19:35:15.671717,13285,20000000.0,500
3,2,2021-01-13 19:37:25.080775,1890,16000000.0,500
4,3,2021-01-13 19:39:37.781969,1854,12800000.0,500
5,4,2021-01-13 19:41:49.307838,2001,10240000.0,500
6,5,2021-01-13 19:44:12.921567,1962,8192000.0,500
7,6,2021-01-13 19:46:56.603534,2295,6553600.0,500
8,7,2021-01-13 19:49:26.069391,2057,5242880.0,500
9,8,2021-01-13 19:52:00.095902,2196,4194304.0,500
10,9,2021-01-13 19:55:02.185587,2538,3355443.2,500
11,10,2021-01-13 19:58:19.385219,2863,2684354.5600000005,500
12,11,2021-01-13 20:01:35.622349,2882,2147483.6480000005,500
13,12,2021-01-13 20:05:29.399225,3886,1717986.9184000005,500
14,13,2021-01-13 20:09:29.951560,3700,1374389.5347200006,500
15,14,2021-01-13 20:14:08.016303,4303,1099511.6277760004,500
16,15,2021-01-13 20:19:28.476995,4811,879609.3022208004,500
17,16,2021-01-13 20:25:18.695653,5599,703687.4417766404,500
18,17,2021-01-13 20:31:08.060630,5454,562949.9534213123,500
19,18,2021-01-13 20:34:06.196950,2529,450359.96273704985,500
20,19,2021-01-13 20:37:01.883018,2532,360287.9701896399,500
21,20,2021-01-13 20:39:30.915625,2193,288230.3761517119,500
22,21,2021-01-13 20:42:04.707674,2404,230584.30092136955,500
23,22,2021-01-13 20:44:33.127117,2639,184467.44073709566,500
24,23,2021-01-13 20:47:30.901678,3429,147573.95258967654,500
25,24,2021-01-13 20:50:07.058316,2768,118059.16207174124,500
26,25,2021-01-13 20:53:25.213530,3914,94447.329657393,500
27,26,2021-01-13 20:56:51.988618,4174,75557.8637259144,500
28,27,2021-01-13 21:00:05.862392,4004,60446.29098073152,500
29,28,2021-01-13 21:03:41.405425,4374,48357.03278458522,500
30,29,2021-01-13 21:07:36.308847,5061,38685.62622766818,500
31,30,2021-01-13 21:11:02.526536,4539,30948.500982134545,500
32,31,2021-01-13 21:14:47.272343,4969,24758.800785707637,500
33,32,2021-01-13 21:18:56.815630,5868,19807.040628566112,500
34,33,2021-01-13 21:23:11.556117,5819,15845.63250285289,500
35,34,2021-01-13 21:28:15.149566,7208,12676.506002282313,500
36,35,2021-01-13 21:32:42.269653,6519,10141.20480182585,500
37,36,2021-01-13 21:37:46.695381,7396,8112.963841460681,500
38,37,2021-01-13 21:42:47.200808,7287,6490.371073168545,500
39,38,2021-01-13 21:49:20.069122,9670,5192.296858534836,500
40,39,2021-01-13 21:56:01.098234,9723,4153.837486827869,500
41,40,2021-01-13 22:15:27.231420,28665,3323.0699894622953,500
42,41,2021-01-13 22:28:00.186400,18655,2658.4559915698364,500
43,42,2021-01-13 22:47:24.849768,28725,2126.7647932558693,500
44,43,2021-01-13 23:15:00.850880,40399,1701.4118346046955,500
45,44,2021-01-14 00:26:23.611673,105950,1361.1294676837565,500
46,45,2021-01-14 02:14:40.738131,158334,1088.9035741470052,500
47,46,2021-01-14 09:57:01.208182,659541,871.1228593176043,500
