,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-14 10:31:57.253509,0,inf,1
1,0,2021-01-14 10:35:14.546760,1394,25000000.0,500
2,1,2021-01-14 10:38:22.724784,42767,20000000.0,500
3,2,2021-01-14 10:39:49.109920,2074,16000000.0,500
4,3,2021-01-14 10:41:25.634211,2043,12800000.0,500
5,4,2021-01-14 10:43:12.848935,2090,10240000.0,500
6,5,2021-01-14 10:44:52.415713,1993,8192000.0,500
7,6,2021-01-14 10:46:46.921938,2278,6553600.0,500
8,7,2021-01-14 10:49:19.544076,2515,5242880.0,500
9,8,2021-01-14 10:51:36.341095,2539,4194304.0,500
10,9,2021-01-14 10:54:00.359607,2458,3355443.2,500
11,10,2021-01-14 10:56:35.361195,2652,2684354.5600000005,500
12,11,2021-01-14 10:59:09.939164,2815,2147483.6480000005,500
13,12,2021-01-14 11:02:27.055984,3204,1717986.9184000005,500
14,13,2021-01-14 11:06:18.579623,3651,1374389.5347200006,500
15,14,2021-01-14 11:13:04.677088,6807,1099511.6277760004,500
16,15,2021-01-14 11:17:22.067364,4381,879609.3022208004,500
17,16,2021-01-14 11:23:05.918549,5878,703687.4417766404,500
18,17,2021-01-14 11:28:55.518166,5904,562949.9534213123,500
19,18,2021-01-14 11:31:31.105179,2751,450359.96273704985,500
20,19,2021-01-14 11:33:44.926073,2383,360287.9701896399,500
21,20,2021-01-14 11:36:18.708102,2901,288230.3761517119,500
22,21,2021-01-14 11:38:56.074787,3029,230584.30092136955,500
23,22,2021-01-14 11:41:15.334734,2688,184467.44073709566,500
24,23,2021-01-14 11:44:30.426450,4348,147573.95258967654,500
25,24,2021-01-14 11:47:41.063088,4109,118059.16207174124,500
26,25,2021-01-14 11:50:42.924798,3813,94447.329657393,500
27,26,2021-01-14 11:55:28.417743,6375,75557.8637259144,500
28,27,2021-01-14 11:58:08.967378,3542,60446.29098073152,500
29,28,2021-01-14 12:01:09.727788,4153,48357.03278458522,500
30,29,2021-01-14 12:04:42.558571,4990,38685.62622766818,500
31,30,2021-01-14 12:07:50.373870,4628,30948.500982134545,500
32,31,2021-01-14 12:11:17.805417,4901,24758.800785707637,500
33,32,2021-01-14 12:14:52.456224,5113,19807.040628566112,500
34,33,2021-01-14 12:19:01.394346,6147,15845.63250285289,500
35,34,2021-01-14 12:27:32.958331,13726,12676.506002282313,500
36,35,2021-01-14 12:33:17.298610,8642,10141.20480182585,500
37,36,2021-01-14 12:39:08.051214,8932,8112.963841460681,500
38,37,2021-01-14 12:49:55.214019,18023,6490.371073168545,500
39,38,2021-01-14 12:54:19.295456,6800,5192.296858534836,500
40,39,2021-01-14 13:02:36.630246,12560,4153.837486827869,500
41,40,2021-01-14 13:24:13.078020,32083,3323.0699894622953,500
42,41,2021-01-14 13:49:56.049655,38428,2658.4559915698364,500
43,42,2021-01-14 14:12:05.099805,33757,2126.7647932558693,500
44,43,2021-01-14 14:37:50.747527,38786,1701.4118346046955,500
45,44,2021-01-14 15:04:04.969102,39091,1361.1294676837565,500
46,45,2021-01-14 15:42:06.793518,56822,1088.9035741470052,500
47,46,2021-01-14 16:23:17.495683,61836,871.1228593176043,500
