,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,1394,500,0,0,0
1,1,42767,500,31984,268,31984
2,2,2074,500,2054,999,2054
3,3,2043,500,1757,798,1757
4,4,2090,500,1725,748,1725
5,5,1993,500,1692,774,1692
6,6,2278,500,1655,610,1655
7,7,2515,500,1474,469,1474
8,8,2539,500,1636,511,1636
9,9,2458,500,1524,492,1524
10,10,2652,500,1563,439,1563
11,11,2815,500,1577,412,1577
12,12,3204,500,1432,313,1432
13,13,3651,500,1440,251,1440
14,14,6807,500,6771,1148,6771
15,15,4381,500,1459,202,1459
16,16,5878,500,1526,134,1526
17,17,5904,500,1483,136,1483
18,18,2751,500,1473,382,1473
19,19,2383,500,1482,497,1482
20,20,2901,500,1528,379,1528
21,21,3029,500,1506,282,1506
22,22,2688,500,1487,407,1487
23,23,4348,500,1647,235,1647
24,24,4109,500,1401,230,1401
25,25,3813,500,1381,245,1381
26,26,6375,500,1462,131,1462
27,27,3542,500,1453,277,1453
28,28,4153,500,1505,242,1505
29,29,4990,500,1585,188,1585
30,30,4628,500,1637,224,1637
31,31,4901,500,1474,190,1474
32,32,5113,500,1552,182,1552
33,33,6147,500,1725,151,1725
34,34,13726,500,1862,78,1862
35,35,8642,500,1600,116,1600
36,36,8932,500,1652,115,1652
37,37,18023,500,1740,49,1740
38,38,6800,500,1665,132,1665
39,39,12560,500,1441,61,1441
40,40,32083,500,1652,21,1652
41,41,38428,500,1753,33,1753
42,42,33757,500,1647,34,1647
43,43,38786,500,1601,25,1601
44,44,39091,500,1347,22,1347
45,45,56822,500,1506,8,1506
46,46,61836,500,1327,11,1327
