,t,population_end_time,samples,epsilon,particles
0,-1,2020-12-30 17:18:08.031290,768,inf,1
1,0,2020-12-30 17:22:03.836683,1851,22456902.896672297,500
2,1,2020-12-30 17:25:11.201865,29069,22435284.13351949,500
3,2,2020-12-30 17:27:36.639391,20042,22401769.2253103,500
4,3,2020-12-30 17:29:08.969388,9686,22150930.988256488,500
5,4,2020-12-30 17:30:47.055667,2721,19523266.85545793,500
6,5,2020-12-30 17:32:27.492574,2537,9734483.772769064,500
7,6,2020-12-30 17:35:20.284097,3121,2943875.7447427684,500
8,7,2020-12-30 17:38:51.795958,3708,1373783.1863127663,500
9,8,2020-12-30 17:43:42.294124,4913,692635.6546744844,500
10,9,2020-12-30 17:50:19.589191,6837,482509.293730371,500
11,10,2020-12-30 17:53:27.259047,3464,271742.13341565616,500
12,11,2020-12-30 17:56:36.733150,3902,189375.17035730823,500
13,12,2020-12-30 17:59:50.447232,3713,130316.33148820174,500
14,13,2020-12-30 18:03:22.274186,4599,86292.7765579362,500
15,14,2020-12-30 18:07:59.571140,6060,60805.68978988119,500
16,15,2020-12-30 18:12:25.086825,6113,38163.39242156244,500
17,16,2020-12-30 18:16:46.609753,6310,25292.00318761768,500
18,17,2020-12-30 18:21:46.356854,7036,18114.398528844897,500
19,18,2020-12-30 18:26:42.772581,7582,11905.281077176804,500
20,19,2020-12-30 18:32:26.901282,8437,8582.303063476871,500
21,20,2020-12-30 18:44:24.597385,17915,5979.216545231498,500
22,21,2020-12-30 18:52:08.439716,11833,4483.2531332344815,500
23,22,2020-12-30 20:10:43.913187,113462,2549.029607763471,500
24,23,2020-12-30 20:33:02.865418,33471,2054.051650472557,500
25,24,2020-12-30 20:57:14.693356,34546,1737.6280442515815,500
26,25,2020-12-30 21:19:40.602238,33054,1490.0236868677093,500
27,26,2020-12-30 21:43:37.077600,35216,1287.4007608166276,500
28,27,2020-12-30 22:02:10.632813,26987,1117.8066934814126,500
29,28,2020-12-30 22:26:13.120276,35493,952.4694403834908,500
30,29,2020-12-30 23:03:40.125501,55685,805.6719127338129,500
31,30,2020-12-30 23:32:32.619298,41794,709.5080556170336,500
32,31,2020-12-31 00:17:21.159822,66004,607.1518476929481,500
