,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,381,256,0,0,0
1,1,708,256,0,0,0
2,2,808,256,0,0,0
3,3,912,256,0,0,0
4,4,948,256,0,0,0
5,5,1531,256,0,0,0
6,6,1712,256,0,0,0
7,7,2737,256,0,0,0
8,8,3324,256,0,0,0
9,9,5143,256,0,0,0
10,10,4977,256,0,0,0
11,11,8882,256,0,0,0
12,12,10470,256,0,0,0
13,13,14710,256,0,0,0
14,14,17291,256,0,0,0
