,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,647,445,0,0,0
1,1,718,426,439,242,439
2,2,793,382,355,168,355
3,3,879,373,542,219,542
4,4,1234,335,597,149,597
5,5,1486,310,333,76,333
6,6,1799,297,348,65,348
7,7,2742,286,312,32,312
8,8,4446,277,344,27,344
9,9,5238,269,291,12,291
10,10,7628,259,336,7,336
11,11,9777,262,461,10,461
12,12,7849,264,386,17,386
13,13,14442,259,345,4,345
14,14,11941,263,306,6,306
15,15,9154,260,285,9,285
