,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,768,500,0,0,0
1,0,1715,500,0,0,0
2,1,32085,500,31926,9967,31926
3,2,20967,500,20789,5710,20789
4,3,12603,500,12274,1415,12274
5,4,2760,500,2748,1123,2748
6,5,2204,500,1920,800,1920
7,6,2771,500,1924,518,1924
8,7,3532,500,1484,278,1484
9,8,5314,500,1380,161,1380
10,9,5911,500,1423,148,1423
11,10,3541,500,1449,229,1449
12,11,4349,500,1543,222,1543
13,12,3848,500,1513,250,1513
14,13,3510,500,1487,296,1487
15,14,4484,500,1420,214,1420
16,15,5917,500,1760,176,1760
17,16,5612,500,1602,165,1602
18,17,6398,500,1691,179,1691
19,18,14359,500,1701,66,1701
20,19,9291,500,1652,104,1652
21,20,11646,500,1907,107,1907
22,21,6709,500,1620,128,1620
23,22,8629,500,1400,82,1400
24,23,9659,500,1408,81,1408
25,24,13256,500,1558,72,1558
26,25,28537,500,1837,35,1837
27,26,14959,500,1724,63,1724
28,27,16913,500,1418,42,1418
29,28,11167,500,1545,74,1545
30,29,14158,500,1310,61,1310
31,30,21551,500,1208,34,1208
32,31,18752,500,1195,27,1195
33,32,30780,500,1156,25,1156
34,33,36834,500,1081,13,1081
35,34,23468,500,1134,26,1134
36,35,34122,500,991,23,991
