Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 15, 73.8697425365448, 124.60192938376935, 1113.996541261673
256, Ori, 15, 145.39458936055502, 100.35444117852909, 2187.5501294136047
1024, Ori, 15, 434.1974827925364, 149.41371699307064, 6521.282290697098
4096, Ori, 15, 1572.4529177188874, 292.8001389635944, 23592.14489841461
64, PPP, 15, 46.07149240175883, 45.10375230630746, 695.0065631866455
256, PPP, 15, 110.62458964983622, 21.53110512733865, 1663.624294757843
1024, PPP, 15, 392.9871679464976, 40.0963032416455, 5899.9185400009155
4096, PPP, 15, 1511.537114095688, 156.44472554317048, 22678.82686305046
64, Stat, 3, 105.23107568422954, 40.18692105215046, 316.66665983200073
256, Stat, 3, 161.7871924241384, 8.107357408822939, 486.17826533317566
1024, Stat, 3, 449.85286204020184, 13.717975126603859, 1350.4886994361877
4096, Stat, 3, 1597.7696797847748, 25.59706343976374, 4794.500637769699
