,t,population_end_time,samples,epsilon,particles
0,-1,2021-03-23 12:23:01.161878,503,inf,1
1,0,2021-03-23 12:25:30.283871,1588,22458040.81349384,500
2,1,2021-03-23 12:31:54.072046,16458,22438222.699327033,500
3,2,2021-03-23 12:44:42.597973,31846,22418217.90377357,500
4,3,2021-03-23 12:58:42.406994,44443,22314156.18008582,500
5,4,2021-03-23 13:06:02.908004,13206,22008484.008306034,500
6,5,2021-03-23 13:09:33.360563,5532,18022178.3125589,500
7,6,2021-03-23 13:12:02.831310,2288,10414374.856244845,500
8,7,2021-03-23 13:15:35.342972,2180,4481422.297149254,500
9,8,2021-03-23 13:21:33.390972,3382,1510490.4502544387,500
10,9,2021-03-23 13:31:08.946968,5169,781623.4681481576,500
11,10,2021-03-23 13:43:04.033959,6537,495641.3383466154,500
12,11,2021-03-23 13:49:02.013876,3458,292307.68761741434,500
13,12,2021-03-23 13:53:47.698880,3060,193464.9379603928,500
14,13,2021-03-23 13:59:39.410970,3924,132593.62148095542,500
15,14,2021-03-23 14:07:15.136876,5462,93029.08730843954,500
16,15,2021-03-23 14:13:15.037874,4217,60537.772156572275,500
17,16,2021-03-23 14:19:22.260878,4443,39930.07261259846,500
18,17,2021-03-23 14:29:58.623874,7941,26959.77576714248,500
19,18,2021-03-23 14:37:08.277886,5783,18659.820462081392,500
20,19,2021-03-23 14:48:56.194875,9305,12531.852786916706,500
21,20,2021-03-23 14:58:36.469874,7797,9222.314257288594,500
22,21,2021-03-23 15:07:19.176873,7076,7360.814169512629,500
23,22,2021-03-23 15:16:04.710975,7193,5652.994229482517,500
24,23,2021-03-23 15:25:19.342878,7741,4426.3092528961515,500
25,24,2021-03-23 15:46:25.259974,17196,3440.8371364356603,500
26,25,2021-03-23 16:08:48.324893,18005,2648.6219697356996,500
27,26,2021-03-23 16:32:50.012873,19258,2214.6624068646447,500
28,27,2021-03-23 16:48:46.564878,12686,1899.6014532807515,500
29,28,2021-03-23 17:11:28.563968,17628,1590.8230377033137,500
30,29,2021-03-23 17:36:37.819984,19669,1338.463859695523,500
31,30,2021-03-23 18:09:06.527879,25042,1134.3950222172823,500
32,31,2021-03-23 18:42:58.725873,26470,996.6423115210995,500
33,32,2021-03-23 19:17:57.751984,27620,862.6171813391041,500
34,33,2021-03-23 20:29:45.602648,57157,743.4438258652415,500
35,34,2021-03-23 21:26:35.996967,44939,662.1840326283976,500
