Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
32, True, 10, 4.661051464080811, 0.3245479991276943, 46.61055850982666
64, True, 10, 8.163999581336975, 0.4882211731711032, 81.64003801345825
128, True, 10, 15.44347960948944, 0.881076124566403, 154.43483567237854
256, True, 10, 31.077263259887694, 1.439463650998132, 310.7726755142212
512, True, 10, 61.33876457214355, 7.77380859397662, 613.3876948356628
1024, True, 10, 121.40417072772979, 4.349219245240402, 1214.0417709350586
2048, True, 10, 241.93489274978637, 30.508368424872156, 2419.3489973545074
32, False, 3, 5.496286392211914, 1.1996125450912511, 16.488871097564697
64, False, 3, 9.14421264330546, 0.3472713306697162, 27.4326491355896
128, False, 3, 18.52893074353536, 0.8495705581104604, 55.58680486679077
256, False, 3, 31.95794979731242, 0.018931558587054396, 95.87386298179626
512, False, 3, 60.50489465395609, 0.9967635518744499, 181.51470017433167
1024, False, 3, 122.41062251726787, 3.2876437228263486, 367.2318878173828
2048, False, 3, 241.97472151120505, 4.074068652902434, 725.9241857528687
