Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 30, 105.54282983144124, 34153.353482970124, 3170.525411128998
256, Ori, 30, 77.61025546391805, 72.20557123190657, 2331.6196019649506
1024, Ori, 30, 102.22968054612478, 134.13963427672726, 3070.947087287903
4096, Ori, 30, 183.15167087713877, 195.94665461213316, 5501.237506866455
64, PPP, 30, 37.80779560407003, 29.93267861526733, 1139.833265542984
256, PPP, 30, 43.676540907224016, 57.36356390957209, 1317.2678062915802
1024, PPP, 30, 59.16636163393657, 47.735419787290134, 1782.6146523952484
4096, PPP, 30, 112.15263353188833, 209.19359911035215, 3373.664828300476
64, Stat, 3, 281.57474788029987, 201.5199699583172, 845.583978176117
256, Stat, 3, 180.44119628270468, 179.56727775529066, 542.3187980651855
1024, Stat, 3, 133.29493403434753, 39.783943129371245, 400.5729444026947
4096, Stat, 3, 230.851358016332, 6.299207118863907, 693.376234292984
