Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 30, 30.400733455022177, 25.432814683286203, 921.0683102607727
256, Ori, 30, 55.169586364428206, 48.367610963930495, 1664.4207782745361
1024, Ori, 30, 146.11861086686451, 33.838403272635546, 4392.94024014473
4096, Ori, 30, 504.1824937502543, 99.66465538436952, 15136.920000076294
64, PPP, 30, 18.649354044596354, 15.637623733977025, 568.3043940067291
256, PPP, 30, 40.612067103385925, 128.29401800613317, 1228.2731711864471
1024, PPP, 30, 120.6795047044754, 3.685298690251845, 3632.26101231575
4096, PPP, 30, 462.21464444001515, 22.37775154154271, 13881.626782894135
64, Stat, 3, 38.20539220174154, 5.446664209291321, 115.70418381690979
256, Stat, 3, 63.17916282018026, 34.728633951482806, 190.42651343345642
1024, Stat, 3, 154.42998099327087, 13.33466817975011, 464.1503655910492
4096, Stat, 3, 517.6103222370148, 1.6365339616939234, 1553.8070046901703
