,t,population_end_time,samples,epsilon,particles
0,-1,2021-02-02 13:37:21.885105,1528,inf,1
1,0,2021-02-02 13:41:00.715569,3543,22459385.866622224,1000
2,1,2021-02-02 13:45:01.488858,60281,22436628.789405987,1000
3,2,2021-02-02 13:48:29.876833,56574,22416066.509954665,1000
4,3,2021-02-02 13:52:40.736151,43007,5062338.818707065,1000
5,4,2021-02-02 13:55:27.046983,5975,2240665.082596978,1000
6,5,2021-02-02 14:00:16.482090,9824,937811.8732213194,1000
7,6,2021-02-02 14:06:37.982402,12808,627756.1500270738,1000
8,7,2021-02-02 14:10:11.673427,7683,341344.92880617135,1000
9,8,2021-02-02 14:13:06.706253,6254,220212.5321487055,1000
10,9,2021-02-02 14:16:23.488409,8333,149936.31236452467,1000
11,10,2021-02-02 14:19:55.507901,8470,102455.4937730666,1000
12,11,2021-02-02 14:25:37.271138,15582,65391.49472190516,1000
13,12,2021-02-02 14:29:12.293179,10040,43112.65924881434,1000
14,13,2021-02-02 14:41:59.640010,35152,23926.87087541724,1000
15,14,2021-02-02 14:46:58.334875,14549,17122.432181395245,1000
16,15,2021-02-02 14:52:08.339142,15620,12005.633687736827,1000
17,16,2021-02-02 14:58:46.574336,20072,8673.50787702948,1000
18,17,2021-02-02 15:03:37.092363,14849,6754.08717682397,1000
19,18,2021-02-02 15:09:54.680350,19099,5191.787457905896,1000
20,19,2021-02-02 15:14:54.064994,15527,4120.228266033683,1000
21,20,2021-02-02 15:27:54.945515,40186,3626.6583031483988,1000
22,21,2021-02-02 15:35:37.844146,23334,2907.867594153418,1000
23,22,2021-02-02 15:47:37.461095,35499,2429.6972993634417,1000
24,23,2021-02-02 15:59:26.001041,35392,2019.5821784553157,1000
25,24,2021-02-02 16:16:32.037232,50568,1713.397933559359,1000
26,25,2021-02-02 16:41:02.698851,72503,1457.25310059309,1000
27,26,2021-02-02 17:47:50.529903,195812,1219.664843008572,1000
28,27,2021-02-02 18:36:34.313127,144605,1048.49130943101,1000
29,28,2021-02-02 19:59:36.766583,251997,957.7767893796969,1000
30,29,2021-02-02 20:24:58.272333,77131,823.1481433567074,1000
31,30,2021-02-02 21:03:45.056968,115742,714.1990555377552,1000
32,31,2021-02-03 00:14:01.430893,566803,566.9835659460477,1000
