,t,population_end_time,samples,epsilon,particles
0,-1,2021-02-02 00:44:57.548181,1014,inf,1
1,0,2021-02-02 00:46:34.744862,3550,22458788.929658495,1000
2,1,2021-02-02 00:47:44.525707,4607,22437255.971252974,1000
3,2,2021-02-02 00:49:19.947311,5928,22413791.075137302,1000
4,3,2021-02-02 00:51:28.587852,5577,21973332.621000722,1000
5,4,2021-02-02 00:54:03.778241,4544,15716517.989525344,1000
6,5,2021-02-02 00:56:45.874120,4675,7393278.755558755,1000
7,6,2021-02-02 01:00:15.367768,6189,2462704.8451837553,1000
8,7,2021-02-02 01:05:01.401327,8865,1174980.5781566268,1000
9,8,2021-02-02 01:11:09.169283,10892,671079.863536457,1000
10,9,2021-02-02 01:17:37.107289,12017,403666.9855529033,1000
11,10,2021-02-02 01:21:25.778148,6910,264573.3710630621,1000
12,11,2021-02-02 01:24:56.396502,7378,183158.3369564176,1000
13,12,2021-02-02 01:28:24.682895,7608,119480.68640461568,1000
14,13,2021-02-02 01:32:23.893910,9562,79086.16851593544,1000
15,14,2021-02-02 01:36:30.605787,10176,52466.270105002826,1000
16,15,2021-02-02 01:41:18.565752,12362,34536.11618770969,1000
17,16,2021-02-02 01:46:42.039682,14300,23656.68608337645,1000
18,17,2021-02-02 01:52:09.074525,15232,16528.260798483127,1000
19,18,2021-02-02 01:58:32.510970,18172,12348.613261801438,1000
20,19,2021-02-02 02:06:47.792088,24328,8804.42731875625,1000
21,20,2021-02-02 02:14:18.062653,21982,6833.486659291396,1000
22,21,2021-02-02 02:23:44.932970,28031,4938.2933413872115,1000
23,22,2021-02-02 02:31:27.742024,22770,3840.6845793210673,1000
24,23,2021-02-02 02:58:54.387514,83273,3460.4869092973786,1000
25,24,2021-02-02 03:20:24.866336,65535,2924.3746392197595,1000
26,25,2021-02-02 03:38:52.968006,55554,2422.265873468153,1000
27,26,2021-02-02 04:13:55.078466,103801,1986.191950938981,1000
28,27,2021-02-02 05:03:21.204462,147436,1696.0210237621154,1000
29,28,2021-02-02 05:42:14.603145,114402,1450.2752402289782,1000
30,29,2021-02-02 06:49:59.102571,199299,1241.0407802265765,1000
31,30,2021-02-02 07:58:50.365251,202668,1088.0814482421836,1000
32,31,2021-02-02 09:16:48.602440,232962,938.0554622422364,1000
33,32,2021-02-02 10:29:47.775006,219194,812.5963307172885,1000
34,33,2021-02-02 11:05:05.218926,103267,702.7713185038117,1000
35,34,2021-02-02 13:37:09.058589,461788,584.2723727152971,1000
