,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,1528,1000,0,0,0
1,0,3543,1000,0,0,0
2,1,60281,1000,59084,18166,59084
3,2,56574,1000,55547,14233,55547
4,3,43007,1000,34318,365,34318
5,4,5975,1000,3196,761,3196
6,5,9824,1000,3007,369,3007
7,6,12808,1000,3083,267,3083
8,7,7683,1000,3237,550,3237
9,8,6254,1000,3176,671,3176
10,9,8333,1000,3612,517,3612
11,10,8470,1000,3145,462,3145
12,11,15582,1000,3688,225,3688
13,12,10040,1000,3455,406,3455
14,13,35152,1000,3351,100,3351
15,14,14549,1000,3677,274,3677
16,15,15620,1000,3652,267,3652
17,16,20072,1000,3282,195,3282
18,17,14849,1000,3337,248,3337
19,18,19099,1000,3396,180,3396
20,19,15527,1000,3609,261,3609
21,20,40186,1000,3512,88,3512
22,21,23334,1000,3180,142,3180
23,22,35499,1000,3221,86,3221
24,23,35392,1000,3674,116,3674
25,24,50568,1000,3435,65,3435
26,25,72503,1000,3544,56,3544
27,26,195812,1000,2959,20,2959
28,27,144605,1000,3045,22,3045
29,28,251997,1000,3077,10,3077
30,29,77131,1000,3181,35,3181
31,30,115742,1000,2553,25,2553
32,31,566803,1000,2969,6,2969
