,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,440,256,0,0,0
1,1,694,256,414,246,414
2,2,763,256,328,169,328
3,3,949,256,508,193,508
4,4,1454,256,441,96,441
5,5,1997,256,892,123,892
6,6,2259,256,320,38,320
7,7,3563,256,448,26,448
8,8,3237,256,294,27,294
9,9,4428,256,284,17,284
10,10,6883,256,369,12,369
11,11,8193,256,383,16,383
12,12,9719,256,284,7,284
13,13,11271,256,283,1,283
14,14,13940,256,397,11,397
