Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 25, 47.163815660476686, 306.0243003261113, 1182.502475976944
256, Ori, 25, 69.4019106388092, 690.7846017398556, 1740.0827686786652
1024, Ori, 25, 119.06676604270935, 1351.7036542732565, 2983.2170333862305
4096, Ori, 25, 247.76040638923644, 3932.4588103892556, 6202.163743019104
64, PPP, 25, 36.329498863220216, 364.1645469259384, 911.5304622650146
256, PPP, 25, 47.272924671173094, 474.3891061555756, 1186.3771936893463
1024, PPP, 25, 82.4002894115448, 924.6517747058174, 2066.4739627838135
4096, PPP, 25, 149.06348931312561, 1149.6601178466474, 3734.02135682106
64, Stat, 3, 182.49182017644247, 106.54572434296546, 547.9233748912811
256, Stat, 3, 176.08663940429688, 28.503939240445373, 528.8545258045197
1024, Stat, 3, 196.30798133214316, 4396.925199098513, 589.582200050354
4096, Stat, 3, 292.19576875368756, 1290.5728188180371, 877.5892977714539
