Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 21, 41.56811655135382, 404.38906112022477, 878.599173784256
256, Ori, 21, 61.79662345704578, 546.7342740074839, 1302.7412974834442
1024, Ori, 21, 131.95888331958227, 2967.6303519200355, 2776.394770383835
4096, Ori, 21, 219.6146692321414, 3650.4692868968773, 4617.719040632248
64, PPP, 21, 30.587009055273874, 349.73346222727866, 647.4442570209503
256, PPP, 21, 46.55406483014425, 562.5306906119467, 982.8925795555115
1024, PPP, 21, 72.12258536475045, 1250.1932091611015, 1520.4225795269012
4096, PPP, 21, 174.71938321703956, 3503.6469908942927, 3675.901223182678
64, Stat, 3, 93.7653603553772, 35.633230392735754, 282.02059984207153
256, Stat, 3, 105.7657364209493, 47.69131778048103, 317.9574167728424
1024, Stat, 3, 126.66119106610616, 483.52075967241126, 380.65489864349365
4096, Stat, 3, 352.16437641779584, 678.2727649443939, 1057.1882090568542
