,t,population_end_time,samples,epsilon,particles
0,-1,2021-03-08 10:57:52.056688,0,inf,1
1,0,2021-03-08 12:08:35.134195,647,65.0,256
2,1,2021-03-08 12:54:33.420402,718,35.6,256
3,2,2021-03-08 14:08:50.040893,793,27.2,256
4,3,2021-03-08 15:21:36.100427,879,20.0,256
5,4,2021-03-08 16:32:25.923217,1234,16.2,256
6,5,2021-03-08 18:27:56.519566,1486,13.4,256
7,6,2021-03-08 20:43:58.162571,1799,11.4,256
8,7,2021-03-09 00:16:15.964945,2742,9.68,256
9,8,2021-03-09 05:58:31.482339,4446,8.45,256
10,9,2021-03-09 12:50:32.636905,5238,7.46,256
11,10,2021-03-09 22:46:16.227105,7628,6.8,256
12,11,2021-03-10 11:27:02.755329,9777,6.26,256
13,12,2021-03-10 21:30:51.619087,7849,6.15,256
14,13,2021-03-11 15:47:22.173519,14442,5.48,256
15,14,2021-03-12 07:18:43.941086,11941,5.3,256
16,15,2021-03-12 19:25:28.816493,9154,5.0,256
