,t,population_end_time,samples,epsilon,particles
0,-1,2021-03-03 10:58:08.247252,0,inf,1
1,0,2021-03-03 11:58:55.649250,629,65.0,256
2,1,2021-03-03 13:07:23.270431,694,35.6,256
3,2,2021-03-03 14:15:43.271138,810,27.2,256
4,3,2021-03-03 15:31:47.995343,995,20.0,256
5,4,2021-03-03 16:55:09.607538,993,16.2,256
6,5,2021-03-03 18:30:10.244309,1273,13.4,256
7,6,2021-03-03 20:45:04.166544,1821,11.4,256
8,7,2021-03-03 23:34:49.424877,2333,9.68,256
9,8,2021-03-04 03:10:36.180862,2939,8.45,256
10,9,2021-03-04 10:50:36.686252,6261,7.46,256
11,10,2021-03-04 18:20:33.373011,6461,6.8,256
12,11,2021-03-05 02:59:33.213224,7512,6.26,256
13,12,2021-03-05 13:58:32.158886,9420,6.15,256
14,13,2021-03-06 06:04:46.354729,14276,5.48,256
15,14,2021-03-06 17:09:48.640555,9744,5.3,256
16,15,2021-03-07 07:58:29.316490,13344,5.0,256
