,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,503,344,0,0,0
1,1,554,334,261,154,261
2,2,664,313,154,72,154
3,3,795,296,159,57,159
4,4,888,295,180,55,180
5,5,1588,279,147,20,147
6,6,1468,280,145,32,145
7,7,2325,279,219,19,219
8,8,3007,270,145,4,145
9,9,4391,264,187,11,187
10,10,6319,262,156,6,156
11,11,9894,260,143,2,143
12,12,7867,259,134,3,134
13,13,11631,258,132,5,132
14,14,12222,259,135,1,135
15,15,13383,256,138,0,138
