,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-01 22:57:30.505739,768,inf,1
1,0,2021-01-01 23:01:28.860313,1782,22458484.99246611,500
2,1,2021-01-01 23:05:00.832885,28096,22434653.265615188,500
3,2,2021-01-01 23:07:23.922783,22714,22407064.060691267,500
4,3,2021-01-01 23:09:00.719851,9536,22313845.621763855,500
5,4,2021-01-01 23:10:28.898584,3470,19034290.52053257,500
6,5,2021-01-01 23:12:27.713900,2765,6690444.936938558,500
7,6,2021-01-01 23:15:19.205282,2917,2637546.7864143597,500
8,7,2021-01-01 23:18:52.890305,4023,1232070.8763101888,500
9,8,2021-01-01 23:25:05.909417,6158,664773.3549160033,500
10,9,2021-01-01 23:31:07.906803,6135,432342.25201012345,500
11,10,2021-01-01 23:34:28.313012,3726,274557.0511467582,500
12,11,2021-01-01 23:37:41.318656,3854,180049.79753272727,500
13,12,2021-01-01 23:41:03.340805,4077,117883.71706739224,500
14,13,2021-01-01 23:46:00.716882,6546,81960.85338699324,500
15,14,2021-01-01 23:50:57.417869,6621,62856.24500725593,500
16,15,2021-01-01 23:53:36.627549,3986,45120.40226375311,500
17,16,2021-01-01 23:59:02.331582,7978,31593.712620610113,500
18,17,2021-01-02 00:03:21.781964,6123,22102.991826549118,500
19,18,2021-01-02 00:07:35.847638,6051,15212.207916441279,500
20,19,2021-01-02 00:12:43.858556,8026,11037.462152192293,500
21,20,2021-01-02 00:18:18.587348,8368,8146.895998541723,500
22,21,2021-01-02 00:22:49.550564,7073,6166.212949214457,500
23,22,2021-01-02 00:28:26.627564,8671,4944.435694476043,500
24,23,2021-01-02 00:35:51.705284,11185,4015.9520303914665,500
25,24,2021-01-02 00:43:54.499200,12359,3157.453644068408,500
26,25,2021-01-02 00:51:54.485249,11970,2639.913488558663,500
27,26,2021-01-02 01:01:17.760569,13552,2165.0421398568506,500
28,27,2021-01-02 01:08:13.712540,10626,1809.7050078146153,500
29,28,2021-01-02 01:20:33.857803,17822,1594.5501153288276,500
30,29,2021-01-02 02:55:17.008183,137533,1365.5511377693622,500
31,30,2021-01-02 03:37:31.914831,62121,1180.4071398664287,500
32,31,2021-01-02 05:34:47.278829,172872,1021.2981280711944,500
33,32,2021-01-02 06:59:26.386168,124869,869.4537975310582,500
34,33,2021-01-02 07:55:35.940885,85033,766.0639540573027,500
35,34,2021-01-02 09:15:29.000814,120792,677.1091163781647,500
