,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-04 21:26:46.567341,768,inf,1
1,0,2021-01-04 21:30:23.113048,1739,22459495.604594067,500
2,1,2021-01-04 21:33:17.359442,27635,22438024.149273936,500
3,2,2021-01-04 21:35:48.487070,23374,22418246.961958162,500
4,3,2021-01-04 21:37:44.705350,12861,22365698.69734524,500
5,4,2021-01-04 21:39:22.984102,5145,20676478.552408192,500
6,5,2021-01-04 21:40:31.576544,2034,19512007.625096045,500
7,6,2021-01-04 21:43:41.691186,3685,5015104.19204436,500
8,7,2021-01-04 21:46:40.545186,2719,3556545.270345968,500
9,8,2021-01-04 21:51:27.657514,4584,1046492.8866954683,500
10,9,2021-01-04 21:57:49.169161,6460,663034.2393352216,500
11,10,2021-01-04 22:03:13.289869,5480,365836.2870452053,500
12,11,2021-01-04 22:06:07.182729,3109,237961.14587693394,500
13,12,2021-01-04 22:10:01.808065,4756,162479.74421493182,500
14,13,2021-01-04 22:13:59.238976,4883,106198.75846695704,500
15,14,2021-01-04 22:17:03.279863,4095,72066.35493688504,500
16,15,2021-01-04 22:20:28.938339,4561,45437.47733875104,500
17,16,2021-01-04 22:23:11.201622,3940,31318.576993634826,500
18,17,2021-01-04 22:27:21.836739,5841,21436.29631630106,500
19,18,2021-01-04 22:31:58.043983,6569,14409.485481939731,500
20,19,2021-01-04 22:38:01.091548,9368,10282.137062703925,500
21,20,2021-01-04 22:42:56.836960,7723,7478.699778846856,500
22,21,2021-01-04 22:57:05.678527,19315,7234.903090554712,500
23,22,2021-01-04 23:05:24.986597,13048,5511.654967161949,500
24,23,2021-01-04 23:13:07.242027,12024,4226.699407387489,500
25,24,2021-01-04 23:19:44.583059,10116,3341.408813005809,500
26,25,2021-01-04 23:27:35.318303,12008,2820.3236811089137,500
27,26,2021-01-04 23:41:25.631150,20495,2279.105172472387,500
28,27,2021-01-04 23:51:18.388026,14896,1934.1790842661712,500
29,28,2021-01-04 23:59:09.584454,11559,1611.1494696223092,500
30,29,2021-01-05 00:07:32.131512,12336,1429.6986149110664,500
31,30,2021-01-05 00:23:11.091103,22939,1322.3488690623556,500
32,31,2021-01-05 00:45:29.740832,32918,1166.301938309723,500
33,32,2021-01-05 01:40:27.168511,82554,983.1237694613759,500
34,33,2021-01-05 02:12:26.567372,47654,863.4044817518089,500
35,34,2021-01-05 03:03:04.512568,78993,815.6047011861814,500
36,35,2021-01-05 03:36:51.031364,49145,725.5313890067866,500
37,36,2021-01-05 04:27:09.053311,74088,626.2834226284737,500
