,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-04 13:18:58.779347,708,inf,1
1,0,2021-01-04 13:20:35.011046,1712,22459770.37521515,500
2,1,2021-01-04 13:21:46.316326,2507,22434422.25858211,500
3,2,2021-01-04 13:23:24.627947,3306,22404932.729867265,500
4,3,2021-01-04 13:25:38.022222,2949,21320507.165241852,500
5,4,2021-01-04 13:28:09.047065,2330,15197854.320233034,500
6,5,2021-01-04 13:31:02.122701,2678,5925165.4553642,500
7,6,2021-01-04 13:34:41.772623,3161,1917272.5768655122,500
8,7,2021-01-04 13:40:20.461908,5140,816280.9948679623,500
9,8,2021-01-04 13:47:21.637432,6348,515842.10597386357,500
10,9,2021-01-04 13:51:47.243882,4254,266290.3407064469,500
11,10,2021-01-04 13:55:23.976009,3818,176996.67552936234,500
12,11,2021-01-04 13:58:46.040604,3623,117366.38143145136,500
13,12,2021-01-04 14:02:23.032060,4151,80578.67325471426,500
14,13,2021-01-04 14:06:17.363602,4917,53324.49367535752,500
15,14,2021-01-04 14:10:09.575388,5077,38049.7719935412,500
16,15,2021-01-04 14:15:40.312872,7608,23655.5753791836,500
17,16,2021-01-04 14:19:42.372296,5463,16376.823318314413,500
18,17,2021-01-04 14:25:35.250221,8444,12015.573203896867,500
19,18,2021-01-04 14:30:15.599223,6602,8818.24610655995,500
20,19,2021-01-04 14:36:47.568910,9659,6734.398266206199,500
21,20,2021-01-04 14:42:32.178309,8350,5225.999163835969,500
22,21,2021-01-04 14:51:32.390936,13542,3871.6702552986985,500
23,22,2021-01-04 14:57:44.878948,9126,3284.6399636562587,500
24,23,2021-01-04 15:07:13.105431,13836,2642.619862972579,500
25,24,2021-01-04 15:16:31.284061,13501,2173.8942831493223,500
26,25,2021-01-04 15:32:10.959526,23120,1802.2687794553242,500
27,26,2021-01-04 15:55:11.472750,34177,1540.100485956566,500
28,27,2021-01-04 16:32:24.433226,56136,1358.9416972212214,500
29,28,2021-01-04 16:55:38.692304,33776,1197.5137170961907,500
30,29,2021-01-04 17:34:35.370360,57910,1024.7741158422043,500
31,30,2021-01-04 18:08:34.047350,50683,896.9145997340075,500
32,31,2021-01-04 18:29:21.838429,30548,784.6222100341867,500
33,32,2021-01-04 21:26:38.143301,285113,651.5490546637683,500
