Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 25, 14.908335275650025, 3.2675895631293246, 373.8018629550934
256, Ori, 25, 17.290930366516115, 3.4903080347922835, 433.45413994789124
1024, Ori, 25, 26.348157720565794, 3.12885877888816, 660.9107718467712
4096, Ori, 25, 58.887934885025025, 10.015980509993904, 1478.4150767326355
64, PPP, 50, 10.295425209999085, 2.2461645802423393, 532.6138246059418
256, PPP, 50, 11.531540355682374, 1.23243881695971, 596.1535727977753
1024, PPP, 50, 18.642079811096192, 1.2825895058094943, 954.90309882164
4096, PPP, 50, 48.57884987831116, 2.1931970636741536, 2467.8935697078705
64, Stat, 10, 66.1313613653183, 580.6485514523854, 671.2651042938232
256, Stat, 10, 54.185049295425415, 35.67366813605681, 551.941241979599
1024, Stat, 10, 51.64007697105408, 4.532709926228941, 526.7904918193817
4096, Stat, 10, 94.95100133419037, 6.382672364694794, 960.3273365497589
