,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-13 19:20:14.571950,1016,inf,1
1,0,2021-01-13 19:21:56.769254,3616,22458142.776231814,1000
2,1,2021-01-13 19:23:08.242981,4673,22435956.007884983,1000
3,2,2021-01-13 19:24:44.327295,5930,22410018.849517588,1000
4,3,2021-01-13 19:26:52.112577,5640,22022829.6086959,1000
5,4,2021-01-13 19:29:27.871789,4719,15293447.156684889,1000
6,5,2021-01-13 19:32:23.073519,5119,6541078.279933874,1000
7,6,2021-01-13 19:35:51.914197,6112,2119416.9327559313,1000
8,7,2021-01-13 19:40:54.373581,8913,919163.3931754102,1000
9,8,2021-01-13 19:47:34.996827,12175,598258.9201351511,1000
10,9,2021-01-13 19:51:31.370830,7099,334989.85476365744,1000
11,10,2021-01-13 19:55:55.023239,8935,217269.34719482044,1000
12,11,2021-01-13 19:59:44.128818,8225,153475.5429175412,1000
13,12,2021-01-13 20:04:29.519946,11762,99422.89279236815,1000
14,13,2021-01-13 20:08:40.139423,10246,66493.24623672162,1000
15,14,2021-01-13 20:14:25.469154,15052,43799.409039889804,1000
16,15,2021-01-13 20:18:48.534779,11210,31002.76838738378,1000
17,16,2021-01-13 20:23:21.111247,12248,20747.770818769714,1000
18,17,2021-01-13 20:28:36.523602,14303,14706.514923718141,1000
19,18,2021-01-13 20:34:09.825799,15743,10546.995350102823,1000
20,19,2021-01-13 20:42:01.496250,23159,8026.67088413916,1000
21,20,2021-01-13 20:49:19.376556,21450,6068.614246614319,1000
22,21,2021-01-13 20:56:46.244602,21863,4798.705400005072,1000
23,22,2021-01-13 21:05:43.091332,26667,3890.8845559071724,1000
24,23,2021-01-13 21:26:28.634195,62439,2996.783553785936,1000
25,24,2021-01-13 21:41:12.653939,43143,2498.8202872598517,1000
26,25,2021-01-13 22:09:02.793094,81265,2072.53810472811,1000
27,26,2021-01-13 22:35:20.627441,78591,1771.4353009595534,1000
28,27,2021-01-13 22:57:43.640271,65658,1519.1471215994563,1000
29,28,2021-01-13 23:25:59.901073,81183,1306.2994735033942,1000
30,29,2021-01-14 00:01:45.965410,104388,1127.4134277848177,1000
31,30,2021-01-14 01:35:45.901621,275283,962.5767672990518,1000
32,31,2021-01-14 02:11:41.556536,106751,836.4341932520764,1000
33,32,2021-01-14 03:25:19.152002,221432,711.3392844277172,1000
34,33,2021-01-14 04:10:49.522895,136305,620.049883327813,1000
