,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,766,500,0,0,0
1,0,1791,500,0,0,0
2,1,30015,500,29819,10014,29819
3,2,22641,500,22483,7361,22483
4,3,14151,500,13817,1817,13817
5,4,3845,500,3310,610,3310
6,5,2993,500,1812,446,1812
7,6,3367,500,1563,304,1563
8,7,5148,500,1466,188,1466
9,8,7803,500,1456,113,1456
10,9,3931,500,1471,238,1471
11,10,3569,500,1681,312,1681
12,11,4659,500,1555,203,1555
13,12,4229,500,1576,218,1576
14,13,4136,500,1571,234,1571
15,14,6179,500,1722,157,1722
16,15,12176,500,1996,86,1996
17,16,8881,500,1966,134,1966
18,17,7771,500,1710,127,1710
19,18,6674,500,2008,174,2008
20,19,5330,500,1482,154,1482
21,20,6100,500,1450,130,1450
22,21,10652,500,1582,92,1582
23,22,7875,500,1524,113,1524
24,23,7863,500,1331,102,1331
25,24,12012,500,1184,55,1184
26,25,8363,500,1485,109,1485
27,26,18477,500,1142,33,1142
28,27,16416,500,1117,33,1117
29,28,27381,500,1024,17,1024
30,29,32732,500,1076,17,1076
31,30,44759,500,1202,12,1202
32,31,45500,500,1086,9,1086
33,32,51084,500,1060,11,1060
