,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-02 11:09:49.619699,529,inf,1
1,0,2021-01-02 11:11:27.024648,1831,22457880.944586456,500
2,1,2021-01-02 11:12:36.876231,2281,22437851.271455828,500
3,2,2021-01-02 11:14:14.268640,3309,22408469.479833182,500
4,3,2021-01-02 11:16:17.530229,2734,21839978.900335696,500
5,4,2021-01-02 11:18:53.508293,2433,15104403.458411682,500
6,5,2021-01-02 11:21:53.988954,2656,5925619.531009905,500
7,6,2021-01-02 11:25:32.320344,3285,1929041.8252748754,500
8,7,2021-01-02 11:30:21.011881,4457,926286.434379378,500
9,8,2021-01-02 11:37:08.790797,6412,573608.9911180838,500
10,9,2021-01-02 11:40:58.417762,3441,335444.1975135724,500
11,10,2021-01-02 11:44:40.434237,3682,205224.647130563,500
12,11,2021-01-02 11:47:52.901355,3490,146944.8390591794,500
13,12,2021-01-02 11:51:35.739053,4301,101076.26051208936,500
14,13,2021-01-02 11:55:02.664287,4170,62194.12114214008,500
15,14,2021-01-02 11:58:41.480746,4675,42528.35459713827,500
16,15,2021-01-02 12:02:54.096297,5453,27639.689330837457,500
17,16,2021-01-02 12:10:17.380889,10176,22522.565044266525,500
18,17,2021-01-02 12:21:05.408504,15785,15663.988882560148,500
19,18,2021-01-02 12:27:02.676727,8502,10832.019893281567,500
20,19,2021-01-02 12:33:48.656345,9949,8082.039936483123,500
21,20,2021-01-02 12:47:21.896143,21466,6874.592347098898,500
22,21,2021-01-02 12:56:44.730588,14027,5322.054257855463,500
23,22,2021-01-02 13:04:45.801030,11971,4300.528856955289,500
24,23,2021-01-02 13:19:14.370651,21752,3580.0022614766976,500
25,24,2021-01-02 13:35:43.168519,24797,2972.827183888448,500
26,25,2021-01-02 13:46:52.624156,16428,2411.0987767956935,500
27,26,2021-01-02 14:09:38.546653,33984,2022.324507141804,500
28,27,2021-01-02 14:21:44.359977,17337,1696.1320855461868,500
29,28,2021-01-02 14:50:50.354038,42926,1419.4044801259336,500
30,29,2021-01-02 17:12:55.919781,214804,1207.227497031704,500
31,30,2021-01-02 17:55:07.644869,62422,1064.2244885483397,500
32,31,2021-01-02 18:43:28.877282,72435,940.0929166978786,500
33,32,2021-01-02 19:31:08.660082,72508,802.5432949235134,500
34,33,2021-01-02 20:07:35.186781,53847,685.6674865052559,500
