,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,1536,1000,0,0,0
1,0,3749,1000,0,0,0
2,1,54941,1000,53991,16974,53991
3,2,47777,1000,46632,9558,46632
4,3,23586,1000,22631,3484,22631
5,4,5195,1000,4712,1479,4712
6,5,5437,1000,3566,980,3566
7,6,5998,1000,3141,748,3141
8,7,10895,1000,3167,345,3167
9,8,11293,1000,2951,319,2951
10,9,9650,1000,3202,434,3202
11,10,6260,1000,3246,695,3246
12,11,8251,1000,3473,524,3473
13,12,8289,1000,3087,464,3087
14,13,9458,1000,3512,451,3512
15,14,9550,1000,3135,409,3135
16,15,10680,1000,2984,355,2984
17,16,10652,1000,3209,356,3209
18,17,20397,1000,3167,158,3167
19,18,19218,1000,3524,202,3524
20,19,14625,1000,3543,270,3543
21,20,18147,1000,3332,211,3332
22,21,24233,1000,3141,137,3141
23,22,26975,1000,3193,136,3193
24,23,43568,1000,3325,79,3325
25,24,49869,1000,3618,67,3618
26,25,77944,1000,3692,40,3692
27,26,104947,1000,3657,34,3657
28,27,101309,1000,3023,26,3023
29,28,109847,1000,3195,33,3195
30,29,88974,1000,3137,47,3137
31,30,126390,1000,2579,21,2579
32,31,285234,1000,2484,9,2484
33,32,117355,1000,2531,23,2531
