,t,population_end_time,samples,epsilon,particles
0,-1,2020-12-30 10:42:26.175923,500,inf,1
1,0,2020-12-30 10:44:45.235082,1775,22458921.771737922,500
2,1,2020-12-30 10:45:50.927624,2265,22437362.497891698,500
3,2,2020-12-30 10:47:13.346334,2681,22417938.3439573,500
4,3,2020-12-30 10:49:15.880257,2978,22185155.316136565,500
5,4,2020-12-30 10:51:54.310467,2600,15997905.89869053,500
6,5,2020-12-30 10:54:39.317813,2409,7083603.052267851,500
7,6,2020-12-30 10:58:18.031982,3141,2324335.1463231593,500
8,7,2020-12-30 11:03:43.330359,4892,973855.1598649526,500
9,8,2020-12-30 11:11:03.839427,6620,602902.7456324903,500
10,9,2020-12-30 11:15:30.744852,4254,376256.72152873833,500
11,10,2020-12-30 11:19:33.162229,3963,220160.07451881235,500
12,11,2020-12-30 11:25:04.576577,6321,161252.74598117577,500
13,12,2020-12-30 11:29:20.858965,4915,104182.63559859985,500
14,13,2020-12-30 11:33:52.550540,5477,64801.399393187785,500
15,14,2020-12-30 11:38:55.133251,6576,41140.488800138184,500
16,15,2020-12-30 11:43:38.101860,6233,25920.36798603558,500
17,16,2020-12-30 11:49:07.773896,7522,18353.96244090711,500
18,17,2020-12-30 11:54:10.749375,6957,13094.748477829293,500
19,18,2020-12-30 11:59:07.166071,6941,9685.145816006105,500
20,19,2020-12-30 12:06:12.650628,10485,7063.783810953789,500
21,20,2020-12-30 12:12:47.852662,9449,5530.054953664142,500
22,21,2020-12-30 12:18:29.640225,8294,4495.351284555867,500
23,22,2020-12-30 12:26:45.036894,12067,3626.3502284777624,500
24,23,2020-12-30 12:48:08.926147,30079,2807.93816774814,500
25,24,2020-12-30 13:05:29.867344,25478,2268.8904867613833,500
26,25,2020-12-30 13:16:44.380185,16366,1886.788513645377,500
27,26,2020-12-30 13:33:54.247550,24481,1645.2447249656561,500
28,27,2020-12-30 14:16:56.047053,63141,1369.1318633521687,500
29,28,2020-12-30 14:53:02.553002,53245,1186.4180507108515,500
30,29,2020-12-30 15:27:22.897395,50350,1019.5100263691546,500
31,30,2020-12-30 15:56:48.282586,43126,902.2735996854112,500
32,31,2020-12-30 16:30:37.101235,50586,789.1042592696061,500
33,32,2020-12-30 17:18:00.892315,71389,687.239134397009,500
