,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,768,500,0,0,0
1,0,1851,500,0,0,0
2,1,29069,500,28855,9465,28855
3,2,20042,500,19783,3628,19783
4,3,9686,500,9525,1996,9525
5,4,2721,500,2673,1038,2673
6,5,2537,500,2131,687,2131
7,6,3121,500,1537,341,1537
8,7,3708,500,1570,279,1570
9,8,4913,500,1532,196,1532
10,9,6837,500,1521,130,1521
11,10,3464,500,1704,318,1704
12,11,3902,500,1617,267,1617
13,12,3713,500,1424,254,1424
14,13,4599,500,1680,223,1680
15,14,6060,500,1627,155,1627
16,15,6113,500,1746,164,1746
17,16,6310,500,1686,139,1686
18,17,7036,500,1475,127,1475
19,18,7582,500,1631,136,1631
20,19,8437,500,1482,90,1482
21,20,17915,500,1685,51,1685
22,21,11833,500,1667,94,1667
23,22,113462,500,1577,7,1577
24,23,33471,500,1721,26,1721
25,24,34546,500,1351,21,1351
26,25,33054,500,1742,32,1742
27,26,35216,500,1568,20,1568
28,27,26987,500,1267,23,1267
29,28,35493,500,1123,18,1123
30,29,55685,500,1186,4,1186
31,30,41794,500,1176,22,1176
32,31,66004,500,1152,9,1152
