Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 14, 29.562050768307277, 95.93944506131297, 414.53932309150696
256, Ori, 14, 55.20848967347826, 254.96565660768874, 773.4979519844055
1024, Ori, 14, 128.18764090538025, 2227.26446373687, 1795.6005129814148
4096, Ori, 14, 262.52078916345323, 7454.393278956478, 3677.576132774353
64, PPP, 14, 22.214664578437805, 111.2702614977144, 313.98585200309753
256, PPP, 14, 39.27883224827902, 106.32067710363187, 553.0128800868988
1024, PPP, 14, 79.77399737494332, 814.57654354222, 1120.3185105323792
4096, PPP, 14, 172.04589877809798, 2173.7477318626748, 2413.3614666461945
64, Stat, 3, 41.39299647013346, 0.5993835003781417, 125.35530853271484
256, Stat, 3, 101.03233766555786, 1203.4378333058294, 304.2671754360199
1024, Stat, 3, 143.20240171750388, 3682.3136321395164, 430.7794473171234
4096, Stat, 3, 309.2090534369151, 2121.8754483924845, 928.9061312675476
