Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 18, 32.34282864464654, 57.52474601201353, 583.4419071674347
256, Ori, 18, 63.07703235414293, 229.54622995604325, 1136.1711370944977
1024, Ori, 18, 114.98204570346408, 483.05151990484137, 2071.194244861603
4096, Ori, 18, 241.94978098074594, 5102.757737501015, 4358.7492797374725
64, PPP, 18, 25.816566122902763, 188.4127050137668, 469.52601766586304
256, PPP, 18, 44.75276900662316, 355.68264332277374, 810.4895243644714
1024, PPP, 18, 86.24677246146732, 982.001131821476, 1557.9515907764435
4096, PPP, 18, 171.21058615048727, 1762.042142831896, 3089.6374735832214
64, Stat, 3, 100.2330223719279, 4.8570529993189036, 302.1996114253998
256, Stat, 3, 109.11439990997314, 53.35862398350082, 328.8534586429596
