Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
64, Ori, 12, 35.11089821656545, 634.8656637048164, 422.330260515213
256, Ori, 12, 67.74772814909618, 794.8464040389945, 813.446347951889
1024, Ori, 12, 123.11731199423473, 765.2384928359979, 1478.1360065937042
4096, Ori, 12, 319.33858879407245, 10812.953877287326, 3833.824810028076
64, PPP, 12, 28.962420105934143, 339.2745317681826, 349.79407572746277
256, PPP, 12, 50.907990992069244, 1136.6778167277037, 613.1950707435608
1024, PPP, 12, 83.0793200135231, 807.086460065801, 999.4843804836273
4096, PPP, 12, 189.0240624944369, 1580.8243140753118, 2271.827080011368
64, Stat, 3, 26.13221573829651, 60.65984341925878, 79.41162467002869
256, Stat, 3, 55.10589106877645, 197.6408826125144, 166.39446830749512
1024, Stat, 3, 102.12906821568806, 286.41309406546134, 307.4070510864258
4096, Stat, 3, 368.52448868751526, 11793.982505663458, 1106.7025411128998
