,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,768,500,0,0,0
1,0,1782,500,0,0,0
2,1,28096,500,27828,8098,27828
3,2,22714,500,22379,4157,22379
4,3,9536,500,9351,2325,9351
5,4,3470,500,3395,860,3395
6,5,2765,500,2011,545,2011
7,6,2917,500,1519,357,1519
8,7,4023,500,1672,274,1672
9,8,6158,500,1447,131,1447
10,9,6135,500,1627,178,1627
11,10,3726,500,1674,299,1674
12,11,3854,500,1584,266,1584
13,12,4077,500,1457,227,1457
14,13,6546,500,1635,144,1635
15,14,6621,500,1694,141,1694
16,15,3986,500,1817,298,1817
17,16,7978,500,1540,112,1540
18,17,6123,500,1545,134,1545
19,18,6051,500,1605,158,1605
20,19,8026,500,1816,124,1816
21,20,8368,500,1590,93,1590
22,21,7073,500,1628,124,1628
23,22,8671,500,1546,90,1546
24,23,11185,500,1537,66,1537
25,24,12359,500,1495,67,1495
26,25,11970,500,1292,65,1292
27,26,13552,500,1312,49,1312
28,27,10626,500,1535,95,1535
29,28,17822,500,1065,27,1065
30,29,137533,500,1229,5,1229
31,30,62121,500,1694,12,1694
32,31,172872,500,1599,6,1599
33,32,124869,500,1620,3,1620
34,33,85033,500,1295,6,1295
35,34,120792,500,1172,4,1172
