,t,population_end_time,samples,epsilon,particles
0,-1,2021-01-01 12:02:44.197373,514,inf,1
1,0,2021-01-01 12:04:15.039985,1794,22458869.673248854,500
2,1,2021-01-01 12:05:19.731462,2286,22436534.26980451,500
3,2,2021-01-01 12:06:49.717198,2929,22415535.83611856,500
4,3,2021-01-01 12:08:48.129877,2909,22183208.922843836,500
5,4,2021-01-01 12:11:11.119843,2305,17994349.644974306,500
6,5,2021-01-01 12:13:48.871861,2230,10078817.469152996,500
7,6,2021-01-01 12:16:43.353141,2645,4798026.152119307,500
8,7,2021-01-01 12:20:47.349453,3743,1567183.775268138,500
9,8,2021-01-01 12:26:55.689667,5693,713148.6561008799,500
10,9,2021-01-01 12:34:33.414571,7096,402949.2620694592,500
11,10,2021-01-01 12:39:07.844974,4484,242296.71879840398,500
12,11,2021-01-01 12:42:54.029781,3971,161143.89013349966,500
13,12,2021-01-01 12:47:34.592017,5439,95188.89997345276,500
14,13,2021-01-01 12:51:23.660923,4671,60525.1091715745,500
15,14,2021-01-01 12:54:42.583929,4061,40818.19445247639,500
16,15,2021-01-01 12:58:43.824558,5371,28349.107681240454,500
17,16,2021-01-01 13:02:39.974262,5329,20099.583509197928,500
18,17,2021-01-01 13:07:50.052886,7152,15037.325976935243,500
19,18,2021-01-01 13:15:35.330352,10957,10425.530114239165,500
20,19,2021-01-01 13:25:38.032497,14744,6874.797161523773,500
21,20,2021-01-01 13:38:02.642183,18801,5104.823147897041,500
22,21,2021-01-01 13:46:05.548247,11790,3899.6588613537238,500
23,22,2021-01-01 13:56:22.520437,15253,3145.8258124543363,500
24,23,2021-01-01 14:09:15.375355,18896,2580.5328928606878,500
25,24,2021-01-01 14:31:43.235004,32980,2040.6832277102892,500
26,25,2021-01-01 14:50:39.500637,27745,1727.600447949319,500
27,26,2021-01-01 15:13:03.896323,32891,1453.0784260721514,500
28,27,2021-01-01 19:36:24.283001,345081,1207.4146136532345,500
29,28,2021-01-01 20:20:01.252647,63390,1021.3338531132091,500
30,29,2021-01-01 21:35:08.401945,114305,859.4487514900767,500
31,30,2021-01-01 22:00:53.479180,37995,755.996512246606,500
32,31,2021-01-01 22:57:23.141986,85232,651.7037024170154,500
