,t,n_evaluated,n_accepted,n_lookahead,n_lookahead_accepted,n_preliminary
0,0,768,500,0,0,0
1,0,1739,500,0,0,0
2,1,27635,500,27459,9078,27459
3,2,23374,500,23182,6288,23182
4,3,12861,500,12672,2590,12672
5,4,5145,500,5061,1457,5061
6,5,2034,500,2009,1196,2009
7,6,3685,500,1636,252,1636
8,7,2719,500,1309,349,1309
9,8,4584,500,1389,171,1389
10,9,6460,500,1492,135,1492
11,10,5480,500,1425,129,1425
12,11,3109,500,1487,336,1487
13,12,4756,500,1725,230,1725
14,13,4883,500,1651,211,1651
15,14,4095,500,1709,244,1709
16,15,4561,500,1571,220,1571
17,16,3940,500,1549,253,1549
18,17,5841,500,1402,150,1402
19,18,6569,500,1542,145,1542
20,19,9368,500,1751,92,1751
21,20,7723,500,1667,126,1667
22,21,19315,500,1432,37,1432
23,22,13048,500,1817,84,1817
24,23,12024,500,1705,80,1705
25,24,10116,500,1624,80,1624
26,25,12008,500,1589,76,1589
27,26,20495,500,1490,35,1490
28,27,14896,500,1577,58,1577
29,28,11559,500,1182,63,1182
30,29,12336,500,1225,48,1225
31,30,22939,500,1164,27,1164
32,31,32918,500,1004,20,1004
33,32,82554,500,1131,11,1131
34,33,47654,500,1139,8,1139
35,34,78993,500,1088,15,1088
36,35,49145,500,1049,11,1049
37,36,74088,500,981,5,981
