Pop size, Look_ahead, Repetitions, Runtime Expectation, Runtime Variance, total Walltime
32, True, 15, 2.3192529837290445, 0.3562306497932731, 34.78883695602417
64, True, 15, 2.4546881675720216, 0.07931456080998336, 36.82036089897156
128, True, 15, 3.485436232884725, 0.0723023951029432, 52.28157997131348
256, True, 15, 6.262897809346517, 0.12870895808918906, 93.94350957870483
512, True, 15, 12.10787483851115, 0.34845668414287256, 181.61816596984863
1024, True, 15, 23.7833305199941, 0.5342790418140694, 356.7500021457672
2048, True, 15, 47.08714984258016, 0.6504245769594603, 706.3072898387909
32, False, 10, 1.8091967582702637, 0.008833012380464425, 18.091988801956177
64, False, 10, 2.5391441822052, 0.009498957873213384, 25.391464948654175
128, False, 10, 4.040881085395813, 0.04334982711332088, 40.408836126327515
256, False, 10, 6.8823312520980835, 0.06962801084632986, 68.82334613800049
512, False, 10, 12.995429754257202, 0.1640166478551805, 129.95432543754578
1024, False, 10, 25.014547181129455, 0.3324828261734984, 250.1454999446869
2048, False, 10, 49.020458817481995, 0.319893571270498, 490.20461869239807
